,id,identifier,title,relation,type,subject,language,format,rights,preview
0,oai:dasi.cnr.it:epi:1,"['DASI:epi-1', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=1']","['as-Sawdāʾ 27', 'M 294', 'RES 3307']",DASI:obj-1,"['Text', 'Legal text']","['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Minaic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=6938&sessId=&size=med
1,oai:dasi.cnr.it:epi:2,"['DASI:epi-2', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=2']","['as-Sawdāʾ 35', 'M 134', 'RES 2912']",DASI:obj-2,"['Text', 'Legal text']","['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Minaic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=1520&sessId=&size=med
2,oai:dasi.cnr.it:epi:3,"['DASI:epi-3', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=3']","['as-Sawdāʾ 36', 'Ry 25', 'M 140', 'RES 2918']",DASI:obj-3,"['Text', 'Legal text']","['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Minaic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=6637&sessId=&size=med
3,oai:dasi.cnr.it:epi:4,"['DASI:epi-4', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=4']","['as-Sawdāʾ 37', 'M 293A', 'RES 3306A']",DASI:obj-4,"['Text', 'Legal text']","['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Minaic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=782&sessId=&size=med
4,oai:dasi.cnr.it:epi:5,"['DASI:epi-5', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5']","['as-Sawdāʾ 38', 'M 293B', 'RES 3306B']",DASI:obj-5,"['Text', 'Legal text']","['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Minaic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=1668&sessId=&size=med
5,oai:dasi.cnr.it:epi:6,"['DASI:epi-6', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=6']","['as-Sawdāʾ 39', 'M 300', 'RES 3316']",DASI:obj-6,"['Text', 'Legal text']","['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Minaic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=6638&sessId=&size=med
6,oai:dasi.cnr.it:epi:7,"['DASI:epi-7', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=7']","['as-Sawdāʾ 40 A', 'M 302', 'RES 3318']",DASI:obj-7,"['Text', 'Legal text']","['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Minaic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=6639&sessId=&size=med
7,oai:dasi.cnr.it:epi:8,"['DASI:epi-8', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=8']","['as-Sawdāʾ 40 B', 'M 302', 'RES 3318']",DASI:obj-7,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Minaic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=6639&sessId=&size=med
8,oai:dasi.cnr.it:epi:9,"['DASI:epi-9', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=9']","['as-Sawdāʾ 52', 'CIH 440']",DASI:obj-9,"['Text', 'Dedicatory text']","['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Sabaic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=4856&sessId=&size=med
9,oai:dasi.cnr.it:epi:10,"['DASI:epi-10', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=10']","['as-Sawdāʾ 54', 'M 295', 'RES 3308']",DASI:obj-10,"['Text', 'Legal text']","['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Sabaic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=6644&sessId=&size=med
10,oai:dasi.cnr.it:epi:11,"['DASI:epi-11', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=11']","['as-Sawdāʾ 86', 'M 296', 'RES 3309']",DASI:obj-11,"['Text', 'Legal text']","['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Minaic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=6645&sessId=&size=med
