id,identifier,date,format,language,title,type,relation,creator,description
oai:N/A:Manchester~18~18~162~225617,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~162~225617', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/7242/escholar000211_0000.jpg', '15m3003']",۱۳۵۸-‎فروردین-‎۲۷,PDF,"['ira', 'Persian']","['آهنگر', 'Āhangar (۱)', 'Ahangar (1)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~163~225621,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~163~225621', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/7242/escholar000212_0000.jpg', '15m3004']",۱۳۵۸-‎اردیبهشت-‎۴,Bookreader,"['ira', 'Persian']","['آهنگر', 'Āhangar (۲)', 'Ahangar (2)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~164~225619,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~164~225619', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/7242/escholar000213_0000.jpg', '15m3005']",۱۳۵۸-‎اردیبهشت-‎۱۰,PDF,"['ira', 'Persian']","['آهنگر', 'Āhangar (۳)', 'Ahangar (3)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~165~225620,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~165~225620', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/7242/escholar000214_0000.jpg', '15m3006']",۱۳۵۸-‎اردیبهشت-‎۱۸,PDF,"['ira', 'Persian']","['آهنگر', 'Āhangar (۴)', 'Ahangar (4)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~166~225625,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~166~225625', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/7242/escholar000215_0000.jpg', '15m3007']",۱۳۵۸-‎خرداد-‎۱,PDF,"['ira', 'Persian']","['آهنگر', 'Āhangar (۵)', 'Ahangar (5)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~167~225624,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~167~225624', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/7242/escholar000216_0000.jpg', '15m3008']",۱۳۵۸-‎خرداد-‎۸,PDF,"['ira', 'Persian']","['آهنگر', 'Āhangar (۶)', 'Ahangar (6)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~168~225622,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~168~225622', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/7242/escholar000217_0000.jpg', '15m3009']",۱۳۵۸-‎خرداد-‎۱۵,PDF,"['ira', 'Persian']","['آهنگر', 'Āhangar (۷)', 'Ahangar (7)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~169~225626,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~169~225626', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/7242/escholar000218_0000.jpg', '15m3010']",۱۳۵۸-‎خرداد-‎۲۳,PDF,"['ira', 'Persian']","['آهنگر', 'Āhangar (۸)', 'Ahangar (8)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~170~225623,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~170~225623', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/7242/escholar000219_0000.jpg', '15m3011']",۱۳۵۸-‎خرداد-‎۲۹,PDF,"['ira', 'Persian']","['آهنگر', 'Āhangar (۹)', 'Ahangar (9)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
oai:N/A:Manchester~18~18~171~225628,"['https://luna.manchester.ac.uk/luna/servlet/detail/Manchester~18~18~171~225628', 'https://luna.manchester.ac.uk/MediaManager/srvr?mediafile=/Size2/Manchester~18~18/7242/escholar000220_0000.jpg', '15m3012']",۱۳۵۸-‎تیر-‎۵,PDF,"['ira', 'Persian']","['آهنگر', 'Āhangar (۱۰)', 'Ahangar (10)']","['Printing', 'Periodical']",Nashriyah: digital Iranian history آرشیو آنلاین نشریات دانشگاه منچستر,,
